Major,Students,State
Mechanical Engineering,108,tennessee
History and World Studies,107,tennessee
Foreign Languages,67,tennessee
Business,998,tennessee
Biology,483,tennessee
International Relations,60,tennessee
Psychology,771,tennessee
Chemistry,26,tennessee
English,105,tennessee
Nursing,1024,tennessee
Social Work,71,tennessee
Marketing,349,tennessee
Visual Arts,41,tennessee
Education,154,tennessee
Environmental Science,35,tennessee
Management,522,tennessee
Physical Therapy,498,tennessee
Accounting,369,tennessee
Religion,308,tennessee
Communication,59,tennessee
Criminal Justice,139,tennessee
Trade Cosmetics,43,tennessee
Trade Mechanical Engineering,209,tennessee
Trade Electrical,14,tennessee
Trade Transportation,10,tennessee
Earth and Space,27,tennessee
Electrical Engineering,11,tennessee
Medical Technicians,14,tennessee
Communication,3814,texas
Economics,988,texas
Mechanical Engineering,1712,texas
Psychology,4115,texas
Biology,3848,texas
Physical Therapy,2637,texas
Chemical Engineering,53,texas
Management,701,texas
Electrical Engineering,437,texas
Business,7968,texas
Humanities,10489,texas
Law,526,texas
Accounting,2178,texas
Math,93,texas
Marketing,1846,texas
Foreign Languages,27,texas
English,474,texas
Nursing,5602,texas
Education,693,texas
Aerospace Engineering,33,texas
Social Work,390,texas
Culinary,235,texas
Computer Engineering,936,texas
Media Arts,255,texas
Health Science,797,texas
Physics,15,texas
History and World Studies,155,texas
Religion,42,texas
Trade Mechanical Engineering,1648,texas
Trade Electrical,727,texas
Trade Aerospace,164,texas
Anthropology,283,texas
Visual Arts,13,texas
Criminal Justice,2172,texas
Performance Arts,26,texas
Earth and Space,444,texas
Medical Technicians,642,texas
Military,123,texas
Dental,24,texas
Trade Transportation,78,texas
Trade Cosmetics,42,texas
Psychology,1230,utah
Accounting,502,utah
Physical Therapy,502,utah
Economics,756,utah
Education,738,utah
Computer Engineering,363,utah
English,175,utah
Culinary,173,utah
Mechanical Engineering,341,utah
Communication,654,utah
Business,459,utah
Biology,292,utah
Nursing,1059,utah
Trade Mechanical Engineering,386,utah
Medical Technicians,512,utah
Trade Cosmetics,131,utah
Dental,160,utah
Pharmacy,102,utah
Trade Transportation,94,utah
Humanities,2329,utah
Health Science,456,utah
Marketing,23,utah
Environmental Science,19,utah
Criminal Justice,51,utah
Agriculture and Animal Sciences,50,utah
Economics,211,vermont
Computer Engineering,143,vermont
Health Science,47,vermont
Law,133,vermont
Environmental Science,239,vermont
Biology,157,vermont
English,33,vermont
International Relations,33,vermont
Psychology,162,vermont
Business,264,vermont
Nursing,96,vermont
Communication,86,vermont
Mechanical Engineering,85,vermont
Economics,767,virginia
Business,3463,virginia
Law,398,virginia
Accounting,622,virginia
History and World Studies,317,virginia
Biology,1761,virginia
Computer Engineering,439,virginia
Math,142,virginia
Psychology,3723,virginia
Communication,2292,virginia
Humanities,3896,virginia
Management,1010,virginia
International Relations,308,virginia
English,481,virginia
Anthropology,153,virginia
Mechanical Engineering,674,virginia
Health Science,269,virginia
Foreign Languages,18,virginia
Electrical Engineering,17,virginia
Nursing,961,virginia
Marketing,168,virginia
Religion,886,virginia
Criminal Justice,1211,virginia
Education,909,virginia
Aerospace Engineering,220,virginia
Environmental Science,8,virginia
Visual Arts,21,virginia
Chemistry,11,virginia
Social Work,12,virginia
Media Arts,11,virginia
Psychology,1629,washington
Communication,604,washington
Law,515,washington
Biology,1160,washington
Computer Engineering,1118,washington
Economics,434,washington
Business,1199,washington
Anthropology,489,washington
Visual Arts,16,washington
English,83,washington
Earth and Space,72,washington
Media Arts,97,washington
Nursing,726,washington
Mechanical Engineering,424,washington
Accounting,342,washington
Criminal Justice,185,washington
Management,175,washington
Music,32,washington
Electrical Engineering,44,washington
Physical Therapy,96,washington
Education,89,washington
Math,26,washington
Chemistry,46,washington
Humanities,84,washington
Health Science,29,washington
Marketing,69,washington
Humanities,864,west-virginia
Communication,255,west-virginia
Mechanical Engineering,245,west-virginia
Nursing,559,west-virginia
Anthropology,180,west-virginia
Education,332,west-virginia
Business,616,west-virginia
Psychology,327,west-virginia
Biology,317,west-virginia
Physical Therapy,196,west-virginia
Medical Technicians,24,west-virginia
Accounting,93,west-virginia
Law,12,west-virginia
Chemical Engineering,9,west-virginia
Criminal Justice,107,west-virginia
Electrical Engineering,7,west-virginia
Physics,16,west-virginia
Chemistry,13,west-virginia
Marketing,69,west-virginia
Health Science,116,west-virginia
Dental,76,west-virginia
Communication,1085,wisconsin
Economics,676,wisconsin
Biology,834,wisconsin
Psychology,868,wisconsin
Environmental Science,403,wisconsin
Math,384,wisconsin
Health Science,527,wisconsin
Business,1027,wisconsin
Law,410,wisconsin
Mechanical Engineering,237,wisconsin
Electrical Engineering,131,wisconsin
Nursing,1292,wisconsin
Bioengineering,116,wisconsin
Computer Engineering,61,wisconsin
Architecture,23,wisconsin
Chemical Engineering,18,wisconsin
Performance Arts,44,wisconsin
English,45,wisconsin
Visual Arts,16,wisconsin
Foreign Languages,58,wisconsin
Marketing,241,wisconsin
Criminal Justice,261,wisconsin
Accounting,145,wisconsin
Education,188,wisconsin
Trade Mechanical Engineering,712,wisconsin
Medical Technicians,264,wisconsin
Trade Transportation,115,wisconsin
Physical Therapy,253,wisconsin
Management,42,wisconsin
Anthropology,52,wisconsin
Humanities,21,wisconsin
Chemistry,20,wisconsin
Nursing,133,wyoming
Psychology,122,wyoming
Education,108,wyoming
Trade Mechanical Engineering,98,wyoming
Management,89,wyoming
Criminal Justice,85,wyoming
Physical Therapy,74,wyoming
Mechanical Engineering,74,wyoming
Marketing,64,wyoming
Business,63,wyoming
